doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea,South;date
9.671406556917033e+26;310988851197547.5;176348759.90421578;31517.296981629876;224760.0;1689163.0;235772.0;179986.0;;83
1.9342813113834067e+27;439804651110400.0;209715200.0;33779.4025157861;225435.0;1707445.0;235400.0;180328.0;;84
3.8685626227668134e+27;621977702395095.0;249394807.96421865;36203.867196751235;225886.0;1730260.0;236259.0;180600.0;;85
7.737125245533627e+27;879609302220800.0;296582080.0757861;38802.34410266618;226699.0;1754764.0;236259.0;181200.0;;86
1.5474250491067253e+28;1243955404790190.0;352697519.80843157;41587.32269343924;227364.0;1779214.0;237906.0;181524.0;;87
3.0948500982134507e+28;1759218604441600.0;419430400.0;44572.18884076158;228006.0;1799124.0;238564.0;182196.0;;88
6.189700196426901e+28;2487910809580380.0;498789615.9284373;47771.28916668455;228658.0;1816479.0;239228.0;182922.0;;89
1.2379400392853803e+29;3518437208883200.0;593164160.1515722;51200.0;229327.0;1837374.0;239479.0;183189.0;;90
2.4758800785707605e+29;4975821619160760.0;705395039.6168631;54874.8012818582;229858.0;1857332.0;239638.0;183410.0;;91
4.951760157141521e+29;7036874417766400.0;838860800.0;58813.35577584816;230158.0;1878683.0;239932.0;183594.0;;92
9.903520314283042e+29;9951643238321520.0;997579231.8568746;63034.59396325975;230555.0;1903907.0;240326.0;183879.0;;93
1.9807040628566084e+30;1.40737488355328e+16;1186328320.3031445;67558.8050315722;231139.0;1926639.0;240660.0;184121.0;;94
3.961408125713217e+30;1.990328647664304e+16;1410790079.2337263;72407.73439350247;231732.0;1944370.0;240978.0;184472.0;;95
7.922816251426434e+30;2.81474976710656e+16;1677721600.0;77604.68820533236;232248.0;1961785.0;241310.0;184924.0;;96
1.5845632502852868e+31;3.980657295328608e+16;1995158463.7137492;83174.64538687847;232664.0;1979912.0;241550.0;185450.0;;97
3.1691265005705735e+31;5.62949953421312e+16;2372656640.606289;89144.37768152315;232997.0;2000706.0;241717.0;185750.0;;98
6.338253001141147e+31;7.961314590657216e+16;2821580158.4674525;95542.5783333691;233197.0;2023656.0;241966.0;186109.0;;99
1.2676506002282294e+32;1.125899906842624e+17;3355443200.0;102400.0;233515.0;2048986.0;242280.0;186506.0;;100
2.5353012004564588e+32;1.5922629181314432e+17;3990316927.4274983;109749.6025637164;233836.0;2074542.0;242707.0;186522.0;;101
5.0706024009129176e+32;2.251799813685248e+17;4745313281.212578;117626.71155169632;234013.0;2094366.0;243209.0;186691.0;;102
1.0141204801825835e+33;3.1845258362628864e+17;5643160316.934905;126069.1879265195;234531.0;2114026.0;243605.0;187226.0;;103
2.028240960365167e+33;4.503599627370496e+17;6710886400.0;135117.6100631444;234801.0;2137731.0;243928.0;187267.0;;104
4.056481920730334e+33;6.369051672525773e+17;7980633854.854997;144815.46878700494;234998.0;2163290.0;244109.0;187518.0;;105
8.112963841460668e+33;9.007199254740992e+17;9490626562.425156;155209.37641066473;235278.0;2191099.0;244328.0;187682.0;;106
1.6225927682921336e+34;1.2738103345051546e+18;11286320633.86981;166349.29077375695;235561.0;2222579.0;244683.0;188252.0;;107
3.2451855365842673e+34;1.8014398509481984e+18;13421772800.0;178288.7553630463;235763.0;2255328.0;245268.0;188604.0;;108
6.4903710731685345e+34;2.547620669010309e+18;15961267709.709993;191085.1566667382;236142.0;2281767.0;245575.0;189817.0;;109
1.2980742146337069e+35;3.602879701896397e+18;18981253124.85031;204800.0;236305.0;2312303.0;245938.0;190299.0;;110
2.5961484292674138e+35;5.095241338020618e+18;22572641267.73962;219499.2051274328;236651.0;2347491.0;246272.0;190670.0;;111
5.1922968585348276e+35;7.205759403792794e+18;26843545600.0;235253.42310339265;236989.0;2382426.0;246504.0;191272.0;;112
1.0384593717069655e+36;1.0190482676041236e+19;31922535419.419987;252138.375853039;237290.0;2422299.0;246752.0;191768.0;;113
2.076918743413931e+36;1.4411518807585587e+19;37962506249.70062;270235.2201262888;237500.0;2467554.0;247086.0;192480.0;;114
4.153837486827862e+36;2.0380965352082473e+19;45145282535.47924;289630.9375740099;237828.0;2510259.0;247486.0;192871.0;;115
8.307674973655724e+36;2.8823037615171174e+19;53687091200.0;310418.75282132946;238159.0;2549864.0;247905.0;193371.0;;116
1.6615349947311448e+37;4.076193070416495e+19;63845070838.83997;332698.5815475139;238011.0;2590668.0;248469.0;194036.0;;117
3.3230699894622897e+37;5.764607523034235e+19;75925012499.40125;356577.5107260926;238275.0;2636414.0;248770.0;194458.0;;118
6.646139978924579e+37;8.15238614083299e+19;90290565070.95848;382170.3133334764;238499.0;2687588.0;248970.0;194693.0;;119
1.3292279957849159e+38;1.152921504606847e+20;107374182400.0;409600.0;238720.0;2742049.0;249271.0;195042.0;;120
2.6584559915698317e+38;1.630477228166598e+20;127690141677.67995;438998.4102548656;238833.0;2795361.0;249659.0;195418.0;;121
5.3169119831396635e+38;2.305843009213694e+20;151850024998.8025;470506.8462067853;239410.0;2841241.0;250103.0;195893.0;;122
1.0633823966279327e+39;3.260954456333196e+20;180581130141.91696;504276.751706078;239706.0;2891124.0;250545.0;196370.0;;123
2.1267647932558654e+39;4.611686018427388e+20;214748364800.0;540470.4402525777;239961.0;2936077.0;250545.0;196780.0;;124
4.253529586511731e+39;6.521908912666391e+20;255380283355.3599;579261.8751480198;240136.0;2996098.0;250545.0;197198.0;;125
8.507059173023462e+39;9.223372036854776e+20;303700049997.605;620837.5056426589;240310.0;3054699.0;251789.0;197523.0;;126
1.7014118346046923e+40;1.3043817825332783e+21;361162260283.8339;665397.1630950278;240436.0;3117946.0;252130.0;198064.0;;127
3.4028236692093846e+40;1.8446744073709552e+21;429496729600.0;713155.0214521852;240578.0;3185737.0;252513.0;198343.0;;128
6.805647338418769e+40;2.6087635650665565e+21;510760566710.7198;764340.6266669529;240760.0;3245925.0;253056.0;198699.0;;129
;;;;240961.0;3304942.0;253908.0;199001.0;;130
;;;;241184.0;3364157.0;253908.0;199332.0;;131
;;;;241419.0;3431574.0;253908.0;199709.0;;132
;;;;241611.0;3498902.0;255953.0;199919.0;;133
;;;;241819.0;3576157.0;256619.0;200180.0;;134
;;;;241956.0;3647715.0;257494.0;200456.0;;135
;;;;242149.0;3711413.0;258855.0;200890.0;;136
;;;;242363.0;3773260.0;260255.0;201450.0;;137
;;;;242639.0;3834677.0;260255.0;202045.0;;138
;;;;242827.0;3899211.0;260255.0;202426.0;;139
;;;;243061.0;3970121.0;264836.0;202735.0;;140
;;;;243230.0;4038816.0;266194.0;203325.0;;141
;;;;243344.0;4112531.0;267551.0;203717.0;;142
;;;;243506.0;4178970.0;270166.0;204276.0;;143
;;;;243736.0;4233923.0;272421.0;204881.0;;144
;;;;243967.0;4290337.0;272421.0;205623.0;;145
;;;;244216.0;4356206.0;272421.0;206278.0;;146
;;;;244434.0;4426982.0;278782.0;206667.0;;147
;;;;244624.0;4495015.0;280610.0;207112.0;;148
;;;;244752.0;4562107.0;282641.0;207707.0;;149
;;;;245032.0;4620592.0;285430.0;208546.0;;150
;;;;245338.0;4668172.0;288522.0;209535.0;;151
;;;;245590.0;4713540.0;288522.0;210399.0;;152
;;;;245864.0;4771080.0;288522.0;211005.0;;153
;;;;246118.0;4823890.0;297054.0;211220.0;;154
;;;;246286.0;4883582.0;302814.0;212111.0;;155
;;;;246488.0;4941755.0;305767.0;212828.0;;156
;;;;246776.0;4997929.0;309855.0;214113.0;;157
;;;;247158.0;5044864.0;314362.0;215039.0;;158
;;;;247537.0;5094400.0;314362.0;216196.0;;159
;;;;247832.0;5141208.0;314362.0;216903.0;;160
;;;;248070.0;5197411.0;322980.0;217288.0;;161
;;;;248229.0;5248958.0;326612.0;218508.0;;162
;;;;248419.0;5313252.0;329784.0;219540.0;;163
;;;;248803.0;5361165.0;337334.0;220859.0;;164
;;;;249204.0;5403213.0;342813.0;222281.0;;165
;;;;249756.0;5438325.0;342813.0;223791.0;;166
;;;;250103.0;5482416.0;342813.0;224488.0;;167
;;;;250566.0;5529824.0;359082.0;225007.0;;168
;;;;250825.0;5573847.0;364196.0;226700.0;;169
;;;;251237.0;5622540.0;370867.0;228120.0;;170
;;;;251713.0;;377906.0;229706.0;;171
;;;;252235.0;;386054.0;231292.0;;172
;;;;252809.0;;;233029.0;;173
;;;;253438.0;;;;;174
;;;;253915.0;;;;;175
;;;;254235.0;;;;;176
;;;;254636.0;;;;;177
;;;;255278.0;;;;;178
;;;;256118.0;;;;;179
;;;;257065.0;;;;;180
